Date: 30/09/2016	Time: 15:38:46	
Z: 0.0	X: 0.0	Y: 0.0	
time [s]	voltage [V]	current [A]
+0000000.000000	-0100.000	-000.3977E-03
+0000001.410291	-0099.500	-000.3971E-03
+0000001.550313	-0099.000	-000.3960E-03
+0000001.690457	-0098.500	-000.3956E-03
+0000001.832151	-0098.000	-000.3947E-03
+0000001.970501	-0097.500	-000.3936E-03
+0000002.110638	-0097.000	-000.3929E-03
+0000002.250689	-0096.500	-000.3921E-03
+0000002.390709	-0096.000	-000.3915E-03
+0000002.530840	-0095.500	-000.3906E-03
+0000002.670854	-0095.000	-000.3897E-03
+0000002.810870	-0094.500	-000.3888E-03
+0000002.950975	-0094.000	-000.3878E-03
+0000003.091005	-0093.500	-000.3872E-03
+0000003.231107	-0093.000	-000.3863E-03
+0000003.371261	-0092.500	-000.3857E-03
+0000003.511201	-0092.000	-000.3847E-03
+0000003.651210	-0091.500	-000.3838E-03
+0000003.792148	-0091.000	-000.3830E-03
+0000003.931385	-0090.500	-000.3822E-03
+0000004.071388	-0090.000	-000.3813E-03
+0000004.211490	-0089.500	-000.3804E-03
+0000004.351575	-0089.000	-000.3795E-03
+0000004.491550	-0088.500	-000.3788E-03
+0000004.631662	-0088.000	-000.3779E-03
+0000004.771740	-0087.500	-000.3770E-03
+0000004.911797	-0087.000	-000.3763E-03
+0000005.051881	-0086.500	-000.3753E-03
+0000005.191932	-0086.000	-000.3745E-03
+0000005.331939	-0085.500	-000.3739E-03
+0000005.471983	-0085.000	-000.3729E-03
+0000005.612066	-0084.500	-000.3719E-03
+0000005.752099	-0084.000	-000.3712E-03
+0000005.892198	-0083.500	-000.3705E-03
+0000006.032264	-0083.000	-000.3695E-03
+0000006.172305	-0082.500	-000.3686E-03
+0000006.312337	-0082.000	-000.3679E-03
+0000006.452441	-0081.500	-000.3670E-03
+0000006.592407	-0081.000	-000.3661E-03
+0000006.732446	-0080.500	-000.3653E-03
+0000006.872547	-0080.000	-000.3644E-03
+0000007.012611	-0079.500	-000.3636E-03
+0000007.152562	-0079.000	-000.3627E-03
+0000007.292634	-0078.500	-000.3618E-03
+0000007.432643	-0078.000	-000.3614E-03
+0000007.572654	-0077.500	-000.3605E-03
+0000007.712692	-0077.000	-000.3595E-03
+0000007.852838	-0076.500	-000.3586E-03
+0000007.992866	-0076.000	-000.3576E-03
+0000008.132832	-0075.500	-000.3566E-03
+0000008.272922	-0075.000	-000.3559E-03
+0000008.413089	-0074.500	-000.3551E-03
+0000008.552954	-0074.000	-000.3541E-03
+0000008.693007	-0073.500	-000.3534E-03
+0000008.833458	-0073.000	-000.3525E-03
+0000008.973141	-0072.500	-000.3517E-03
+0000009.113145	-0072.000	-000.3507E-03
+0000009.253226	-0071.500	-000.3498E-03
+0000009.393254	-0071.000	-000.3490E-03
+0000009.533376	-0070.500	-000.3481E-03
+0000009.673384	-0070.000	-000.3473E-03
+0000009.813398	-0069.500	-000.3462E-03
+0000009.953516	-0069.000	-000.3454E-03
+0000010.093499	-0068.500	-000.3446E-03
+0000010.233501	-0068.000	-000.3436E-03
+0000010.373574	-0067.500	-000.3428E-03
+0000010.513646	-0067.000	-000.3418E-03
+0000010.653709	-0066.500	-000.3410E-03
+0000010.793716	-0066.000	-000.3399E-03
+0000010.933728	-0065.500	-000.3389E-03
+0000011.073831	-0065.000	-000.3384E-03
+0000011.214215	-0064.500	-000.3373E-03
+0000011.354568	-0064.000	-000.3364E-03
+0000011.493879	-0063.500	-000.3356E-03
+0000011.633876	-0063.000	-000.3345E-03
+0000011.773933	-0062.500	-000.3336E-03
+0000011.913941	-0062.000	-000.3328E-03
+0000012.053935	-0061.500	-000.3319E-03
+0000012.193943	-0061.000	-000.3311E-03
+0000012.334053	-0060.500	-000.3300E-03
+0000012.474064	-0060.000	-000.3292E-03
+0000012.614054	-0059.500	-000.3283E-03
+0000012.754125	-0059.000	-000.3273E-03
+0000012.894141	-0058.500	-000.3266E-03
+0000013.034142	-0058.000	-000.3255E-03
+0000013.174174	-0057.500	-000.3248E-03
+0000013.314288	-0057.000	-000.3237E-03
+0000013.454604	-0056.500	-000.3229E-03
+0000013.594333	-0056.000	-000.3220E-03
+0000013.734413	-0055.500	-000.3210E-03
+0000013.874392	-0055.000	-000.3200E-03
+0000014.015168	-0054.500	-000.3191E-03
+0000014.154497	-0054.000	-000.3183E-03
+0000014.294514	-0053.500	-000.3173E-03
+0000014.434593	-0053.000	-000.3163E-03
+0000014.574529	-0052.500	-000.3156E-03
+0000014.714621	-0052.000	-000.3146E-03
+0000014.854631	-0051.500	-000.3136E-03
+0000014.994616	-0051.000	-000.3126E-03
+0000015.134630	-0050.500	-000.3116E-03
+0000015.274732	-0050.000	-000.3106E-03
+0000015.414775	-0049.500	-000.3099E-03
+0000015.554781	-0049.000	-000.3086E-03
+0000015.694809	-0048.500	-000.3078E-03
+0000015.834770	-0048.000	-000.3068E-03
+0000015.974856	-0047.500	-000.3059E-03
+0000016.115080	-0047.000	-000.3049E-03
+0000016.254921	-0046.500	-000.3039E-03
+0000016.394892	-0046.000	-000.3030E-03
+0000016.534984	-0045.500	-000.3020E-03
+0000016.674970	-0045.000	-000.3011E-03
+0000016.815001	-0044.500	-000.3001E-03
+0000016.955078	-0044.000	-000.2991E-03
+0000017.095051	-0043.500	-000.2980E-03
+0000017.235137	-0043.000	-000.2969E-03
+0000017.375168	-0042.500	-000.2959E-03
+0000017.515198	-0042.000	-000.2951E-03
+0000017.655240	-0041.500	-000.2940E-03
+0000017.795324	-0041.000	-000.2930E-03
+0000017.935369	-0040.500	-000.2917E-03
+0000018.075413	-0040.000	-000.2910E-03
+0000018.215349	-0039.500	-000.2900E-03
+0000018.355469	-0039.000	-000.2891E-03
+0000018.495531	-0038.500	-000.2878E-03
+0000018.635554	-0038.000	-000.2868E-03
+0000018.775593	-0037.500	-000.2860E-03
+0000018.915599	-0037.000	-000.2849E-03
+0000019.055582	-0036.500	-000.2839E-03
+0000019.195637	-0036.000	-000.2828E-03
+0000019.335743	-0035.500	-000.2817E-03
+0000019.475946	-0035.000	-000.2805E-03
+0000019.615769	-0034.500	-000.2796E-03
+0000019.757579	-0034.000	-000.2786E-03
+0000019.895891	-0033.500	-000.2775E-03
+0000020.035817	-0033.000	-000.2764E-03
+0000020.175981	-0032.500	-000.2752E-03
+0000020.315933	-0032.000	-000.2742E-03
